remind-eu,general,pypsa-eur
ngcc,CCGT,CCGT
ngccc,CCGT,CCGT
gaschp,CCGT,CCGT
ngt,OCGT,OCGT
biochp,biomass,biomass
bioigcc,biomass,biomass
bioigccc,biomass,biomass
igcc,all_coal,coal
igccc,all_coal,lignite
pc,all_coal,lignite
coalchp,all_coal,lignite
fnrs,nuclear,nuclear
tnrs,nuclear,nuclear
dot,oil,oil
wind,wind_onshore,onwind
windoff,wind_offshore,offwind-dc
windoff,wind_offshore,offwind-ac
windoff,wind_offshore,offwind
spv,solar_pv,solar
spv,solar_pv,solar-utility
spv,solar_pv,solar-rooftop
hydro,hydro,hydro
hydro,hydro,ror
